sec, nanosec, x, y, th
6,189000000,-1.5510976933314,-0.5000005736604709,2.6464278306339158e-0
6,223000000,-1.5426011661042272,-0.5000005562681017,2.653440806919753e-0
6,257000000,-1.534104247810817,-0.5000005353497952,2.688348984513062e-0
6,291000000,-1.5256069411407767,-0.5000005100777856,2.7465564777483838e-0
6,325000000,-1.5171092490245055,-0.5000004823220153,2.772144373465356e-0
6,359000000,-1.5086111754461125,-0.5000004530738451,2.795857247263122e-0
6,393000000,-1.5001127247581674,-0.5000004219123088,2.8450775035327917e-0
6,427000000,-1.4916139028832403,-0.5000003886794401,2.892436409888485e-0
6,461000000,-1.483114719162718,-0.5000003536992214,2.9256845689175986e-0
6,495000000,-1.474615190620796,-0.5000003174751027,2.958961564543393e-0
6,529000000,-1.466115359250586,-0.5000002811273765,2.9945035737197116e-0
6,563000000,-1.4576149505091192,-0.5000002439061959,3.0044805963446684e-0
6,597000000,-1.449114084202974,-0.500000207311077,2.9350928153486967e-0
6,631000000,-1.4406128182756615,-0.5000001723446088,2.8846783617128535e-0
6,665000000,-1.4321111348083257,-0.5000001386455244,2.8890890041272827e-0
6,699000000,-1.4236090199906555,-0.5000001062501888,2.8827020863573807e-0
6,733000000,-1.4151064637567228,-0.5000000758248946,2.859699694357352e-0
6,767000000,-1.4066034589827867,-0.5000000475389441,2.8556853745449345e-0
6,801000000,-1.398100000559964,-0.5000000212667467,2.8636819522712064e-0
6,835000000,-1.3895960849840343,-0.4999999973300959,2.8647373742686743e-0
6,869000000,-1.3810917101072142,-0.49999997629011456,2.8663779010012163e-0
6,903000000,-1.372586874820368,-0.4999999585131332,2.8763948087171895e-0
6,937000000,-1.3640815787434075,-0.4999999442444783,2.8881249054273874e-0
6,971000000,-1.3555759586200355,-0.4999999338463866,2.894929777900745e-0
7,5000000,-1.347070708434841,-0.4999999277686651,2.894231353155673e-0
7,39000000,-1.3385664652752662,-0.4999999250760584,2.9022737761599396e-0
7,73000000,-1.3300634180016757,-0.4999999251346624,2.9151636356915282e-0
7,107000000,-1.3215615730230486,-0.4999999273510666,2.919731407906076e-0
7,141000000,-1.3130609299489178,-0.49999993101627344,2.918719794067744e-0
7,175000000,-1.3045614888354105,-0.49999993513699614,2.9186851687959493e-0
7,209000000,-1.297218042489537,-0.49999994094856554,2.6367603825121106e-0
7,243000000,-1.2910308826578907,-0.4999999483743686,2.5679797298828458e-0
7,277000000,-1.2860000060877412,-0.4999999543381368,2.6178889690542877e-0
7,311000000,-1.282125411799671,-0.49999995932648383,2.518145639122249e-0
7,345000000,-1.279407100266602,-0.49999996415983283,2.3887137907900115e-0
7,379000000,-1.2778448154290722,-0.4999999682592611,2.2339470192320873e-0
7,413000000,-1.277438225470242,-0.499999971594538,2.0655139707621963e-0
7,447000000,-1.277440065311088,-0.49999997434768284,2.1549692983613857e-0
7,481000000,-1.2774419873619165,-0.49999997740269747,2.186253004151619e-0
7,515000000,-1.277443789602146,-0.49999997995819495,1.968762957330009e-0
7,549000000,-1.2774451654747407,-0.49999998193337136,1.8294389780220054e-0
7,583000000,-1.2774459627595718,-0.4999999837232038,1.84613474480023e-0
7,617000000,-1.2774461205706804,-0.49999998586180205,1.8098138886730412e-0
7,651000000,-1.277445633236914,-0.4999999873778265,1.735072089038466e-0
7,685000000,-1.2774445484648407,-0.49999998848442206,1.722528640255564e-0
7,719000000,-1.2774430796098346,-0.49999998948302515,1.7827958477909907e-0
7,753000000,-1.2774415630319134,-0.4999999902949435,1.8104606802876614e-0
7,787000000,-1.277440071586277,-0.49999999124142036,1.8107068690221678e-0
7,821000000,-1.2774388710094986,-0.49999999200881307,1.845815830562762e-0
7,855000000,-1.2774380497529512,-0.49999999294756053,1.862779613786819e-0
7,889000000,-1.2774379173110897,-0.4999999938597455,1.8512238727413878e-0
7,923000000,-1.2774380584840757,-0.4999999948202703,1.8179301577303321e-0
7,957000000,-1.2774388957440668,-0.49999999571649206,1.7690940612214776e-0
7,991000000,-1.2774399078589227,-0.499999996731206,1.7057954121868393e-0
8,25000000,-1.2774411175853653,-0.4999999974846934,1.6354291679001608e-0
8,59000000,-1.2774422213874665,-0.4999999983245782,1.567432985799287e-0
8,93000000,-1.277443193702111,-0.49999999897071545,1.497176765544667e-0
8,127000000,-1.2774438415882012,-0.49999999938716033,1.430472744250328e-0
8,161000000,-1.277444108690372,-0.49999999945130047,1.386306543427246e-0
8,195000000,-1.2774439252356122,-0.49999999977875303,1.3543114165748103e-0
8,229000000,-1.2774434127671683,-0.4999999997288179,1.3303298477989263e-0
8,263000000,-1.2774425733931625,-0.49999999944238205,1.3319189847163067e-0
8,297000000,-1.2774416401869266,-0.49999999922196314,1.3412597304328008e-0
8,331000000,-1.2774406973047638,-0.49999999903232856,1.343726452187088e-0
8,365000000,-1.2774398263460165,-0.4999999988447377,1.3488736515005414e-0
8,399000000,-1.2774391698135905,-0.4999999985949486,1.35747782221771e-0
8,433000000,-1.2774389607530432,-0.49999999845003845,1.3351777661298107e-0
8,467000000,-1.2774390044905533,-0.49999999825683983,1.3113346377966684e-0
8,501000000,-1.2774393831879183,-0.4999999981341313,1.2781819130534023e-0
8,535000000,-1.2774398634011146,-0.4999999981216011,1.2325843907449405e-0
8,569000000,-1.2774406510078844,-0.49999999791616173,1.1760961576681667e-0
8,603000000,-1.2774413173177053,-0.49999999790285665,1.116901747447158e-0
8,637000000,-1.27744207201576,-0.4999999977280337,1.0609276409138217e-0
8,671000000,-1.277442503329456,-0.499999997309106,1.0121332552254027e-0
8,705000000,-1.2774427106161688,-0.4999999969497641,9.704231403867183e-0
8,739000000,-1.2774426249264113,-0.4999999966165338,9.331647043652219e-0
8,773000000,-1.2774424615404048,-0.4999999961387423,9.099201808594862e-0
8,807000000,-1.277441951576116,-0.49999999550168706,9.025150320031351e-0
8,841000000,-1.2774413874356685,-0.4999999949746143,8.865337118313887e-0
8,875000000,-1.2774407756524844,-0.49999999429660974,8.852134308517068e-0
8,909000000,-1.2774403192107977,-0.49999999381816745,8.691969989624954e-0
8,943000000,-1.2774397684820313,-0.49999999321619065,8.674071892778618e-0
8,977000000,-1.277439572966942,-0.4999999927162554,8.485937012424863e-0
9,11000000,-1.277439574930063,-0.4999999922122418,8.196063383078636e-0
9,45000000,-1.2774397208353272,-0.4999999919204814,7.897586100452585e-0
9,79000000,-1.277439958131777,-0.49999999152353153,7.529555777472939e-0
9,113000000,-1.2774402737881558,-0.49999999110821175,7.149079582722594e-0
9,147000000,-1.2774407610960046,-0.4999999906678304,6.679273350142031e-0
9,181000000,-1.277441054385117,-0.4999999904263219,6.25014500554057e-0
9,215000000,-1.2774414280732145,-0.4999999899761771,5.83997236619692e-0
9,249000000,-1.2774416645365354,-0.49999998962883124,5.338347536535591e-0
9,283000000,-1.2774415972740714,-0.4999999891403448,5.114047690445535e-0
