x, y, th, sec, nanosec, 
-1.2365698239046967,-0.49999953322266216,3.4269807496087904e-06,48,417000000,
-1.2280679252268214,-0.4999995198046963,3.4315602014230267e-06,48,451000000,
-1.219566928584021,-0.4999995077806383,3.434292698994579e-06,48,485000000,
-1.2110669396919704,-0.49999949649416625,3.434474154246737e-06,48,519000000,
-1.2025678943211333,-0.49999948517742376,3.4323827053671958e-06,48,553000000,
-1.1940695978412768,-0.4999994729711353,3.428668239150487e-06,48,587000000,
-1.1855718016236243,-0.49999945927766837,3.423803679574971e-06,48,621000000,
-1.177074161815049,-0.4999994440560407,3.4185727584431073e-06,48,655000000,
-1.1685763910088565,-0.49999942721954443,3.4138720690908056e-06,48,689000000,
-1.1600781886388833,-0.49999940863642556,3.4104309386192906e-06,48,723000000,
-1.1515794488125735,-0.4999993892143163,3.409505628295991e-06,48,757000000,
-1.143080186279005,-0.49999936892435776,3.4079416817941043e-06,48,791000000,
-1.1357347104223339,-0.49999935549941743,2.737739911073039e-06,48,825000000,
-1.1295442164543987,-0.499999352804292,2.352006594550395e-06,48,859000000,
-1.1245085077964874,-0.4999993518389961,2.7289360747284564e-06,48,893000000,
-1.1206280711882781,-0.4999993498224076,2.9272517801661268e-06,48,927000000,
-1.1179034532491048,-0.49999934988455635,2.774957077837073e-06,48,961000000,
-1.1163351143403455,-0.49999935119118144,2.760052187427701e-06,48,995000000,
-1.115923058636175,-0.49999935256219913,2.7586478213050097e-06,49,29000000,
-1.1159201311325533,-0.4999993540220114,2.8426683468080856e-06,49,63000000,
-1.1159184391492407,-0.49999935578035326,2.9347870354675875e-06,49,97000000,
-1.1159179472740701,-0.49999935773908194,2.882024818975605e-06,49,131000000,
-1.115918657142704,-0.4999993599569962,2.8460590639961654e-06,49,165000000,
-1.1159205690128506,-0.4999993624386831,2.8817890496078665e-06,49,199000000,
-1.1159236825662382,-0.49999936511186993,2.884555685556161e-06,49,233000000,
-1.1159279978728631,-0.4999993679562818,2.849946935837852e-06,49,267000000,
-1.1159333937395444,-0.49999937083518076,2.8143140669379296e-06,49,301000000,
-1.1159392572102582,-0.4999993734049125,2.5486304734687497e-06,49,335000000,
-1.1159447501227269,-0.49999937572174585,2.205239420428253e-06,49,369000000,
-1.1159496107496552,-0.49999937594504695,2.2181723780439256e-06,49,403000000,
-1.1159538060478336,-0.49999937794783783,2.289233315652514e-06,49,437000000,
-1.1159573334493083,-0.4999993821603215,2.175507137052041e-06,49,471000000,
-1.1159601993655648,-0.4999993832726431,2.097088307267127e-06,49,505000000,
-1.1159624095384313,-0.4999993818352399,2.085082818616879e-06,49,539000000,
-1.115963968876448,-0.49999938176491443,2.0218236200909603e-06,49,573000000,
-1.1159648826663475,-0.4999993829881582,1.9561319941015923e-06,49,607000000,
-1.1159651560084525,-0.49999938353572126,1.9374057130715393e-06,49,641000000,
-1.1159647865856626,-0.4999993829643608,1.9042554029872412e-06,49,675000000,
-1.1159637848227797,-0.49999938234759456,1.8450811301608565e-06,49,709000000,
-1.1159621555484622,-0.49999938152414314,1.8054983972912768e-06,49,743000000,
-1.115959902791816,-0.49999938051393594,1.778566624642063e-06,49,777000000,
-1.1159570303447786,-0.49999937932307803,1.740837704832385e-06,49,811000000,
-1.1159535419335982,-0.4999993779635692,1.7018524468312405e-06,49,845000000,
-1.115949441167691,-0.4999993764570459,1.672070764457818e-06,49,879000000,
-1.1159447312885438,-0.49999937481686463,1.643649610292652e-06,49,913000000,
-1.1159396065865899,-0.49999937317118753,1.6533549637778212e-06,49,947000000,
-1.115934647223345,-0.49999937188135685,1.8990222312817547e-06,49,981000000,
-1.1159305000104713,-0.4999993710090491,2.0960465471705877e-06,50,15000000,
-1.1159275142581957,-0.49999937015173923,2.056798054067081e-06,50,49000000,
-1.115925730719175,-0.499999369635897,1.97231288274338e-06,50,83000000,
-1.115925149658425,-0.4999993695505727,2.0231757378788182e-06,50,117000000,
